CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-3.30670063623886,-1.78807446402028,-3.24801863223773,-3.06432898378798,0
-2.32454328936548,-1.31016133957961,-2.85118570936673,-2.73529626223081,0
-2.99860587559182,-1.51325809749271,-3.02020236174414,-2.92108259846178,0
-2.57298335357373,-1.36546744331255,-2.71067454162058,-2.62371286283932,0
-1.71592760907599,-0.548248084923404,-1.72013996299127,-1.59137300502189,0
-2.7676521861288,-0.74791376131255,-2.88965969250091,-2.77354617798603,0
-2.48562636950732,-1.23732699840029,-2.150731084757,-2.07543801301732,0
-1.97675298362536,-0.797249813090443,-1.62046015182235,-1.56990259192572,0
-3.02984206894744,-1.39221358136361,-2.68959280059714,-2.58368387589343,0
-2.49093476626461,-1.09084197145038,-2.6933299800082,-2.58546276311208,0
-2.25667474441638,-0.786950389393746,-2.59820966526356,-2.52778787473293,0
-3.31039577216793,-1.48258480943031,-3.02593706215552,-2.80561559498431,0
-2.44640860097601,-1.4120229242619,-2.50921777694976,-2.40242965541627,0
-2.03512269056007,-0.664935483535566,-2.24414776194793,-2.14746028387358,0
-2.1593424294932,-1.30515836017798,-2.70135426669232,-2.66402272074953,0
-2.38500637373348,-0.857526844796121,-2.14916754656668,-2.1050867927187,0
-2.94321596882217,-2.69293512421323,-3.18908611927715,-3.06199328044906,0
-3.56309005180571,-3.99386276176734,-3.45002288637512,-3.35661859167063,0
-3.05933396806764,-1.61299232073783,-3.14144557882898,-3.07734604564684,0
-2.90173411202525,-1.21031219594934,-2.65362191309959,-2.5788834784915,0
-2.6439294044776,-1.59344075760085,-2.17806369678746,-2.15528549027545,0
-2.52543241816113,-1.5252919332611,-2.55314802817783,-2.41641573956054,0
-1.88152421578723,-0.761408471730613,-1.65087050128467,-1.57751543107155,0
-2.30254691172768,-0.872280358347045,-1.83154764277462,-1.74514981537149,0
-2.24785768947519,-0.698857098968431,-1.85548993100555,-1.82426930949299,0
-1.87447023729017,-0.637732381169179,-1.82527716831142,-1.79696785143364,0
-2.04356108662699,-0.633756764984815,-1.56088277784147,-1.49545839780862,0
-1.30242649748758,-0.678051242919986,-2.11044426472957,-2.00214083155837,0
-3.13950858229863,-2.68240438983378,-2.90697929456418,-2.90011397308691,0
-2.42071499595123,-1.07402301821358,-2.52861389617886,-2.47527353014698,0
-0.981544584988935,-0.400480593986989,-1.36244641274173,-1.25179251077133,0
-3.40873699171287,-1.66283647937734,-3.3986186608547,-3.29503333691412,0
-0.708688561589278,-0.360648667356725,-0.334332368553986,-0.31466410072966,0
-3.19195297036323,-1.2130322104371,-3.08567138876112,-2.94392214355893,0
-2.23281472279074,-0.733797694024191,-2.41369573749411,-2.31821628222249,0
-3.1633042110192,-0.8298843353994,-3.32337482808656,-3.25361709592409,0
-2.55855290466236,-2.09128922384444,-2.50147406588094,-2.43587455180844,0
-2.21058633421791,-0.738594759618816,-2.12711905420925,-2.14509771458949,0
-2.4620348631875,-1.21901022746481,-1.8896507511504,-1.8672671657137,0
-3.47568986138119,-1.60030155915448,-3.04775217012379,-2.91776553394366,0
-3.06293819879294,-1.75281160136914,-3.53285872927035,-3.3243328674906,0
